,"Rank","Player","POS","Team","PosRank","AVGRank","AVGTier","Siegele8.29","Curtis8.29","Andrews8.17"
"1",1,"JUSTIN JEFFERSON","WR","MIN",1,1,1,1,1,1
"2",2,"TRAVIS KELCE","TE","KC",1,2.7,1,2,2,4
"3",3,"CHRISTIAN MCCAFFREY","RB","SF",1,3,1,3,3,3
"4",4,"JAMARR CHASE","WR","CIN",2,3.3,1,4,4,2
"5",5,"COOPER KUPP","WR","LAR",3,6.3,1,5,5,9
"6",6,"TYREEK HILL","WR","MIA",4,6.7,1,6,6,8
"7",7,"AUSTIN EKELER","RB","LAC",2,7,1,7,7,7
"8",8,"GARRETT WILSON","WR","NYJ",5,7.7,1,8,9,6
"9",9,"AJ BROWN","WR","PHI",6,9.3,1,13,10,5
"10",10,"CEEDEE LAMB","WR","DAL",7,11,2,10,11,12
"11",11,"BIJAN ROBINSON","RB","ATL",3,11.7,2,11,14,10
"12",12,"STEFON DIGGS","WR","BUF",8,12.3,2,14,8,15
"13",13,"AMONRA ST BROWN","WR","DET",9,12.7,2,9,16,13
"14",14,"MARK ANDREWS","TE","BAL",2,14.3,2,12,17,14
"15",15,"JAYLEN WADDLE","WR","MIA",10,15,2,15,19,11
"16",16,"SAQUON BARKLEY","RB","NYG",4,16.7,2,17,13,20
"17",17,"DAVANTE ADAMS","WR","LV",11,17.7,2,22,12,19
"18",18,"CHRIS OLAVE","WR","NO",12,19.3,2,16,24,18
"19",19,"DEVONTA SMITH","WR","PHI",13,19.7,2,18,25,16
"20",20,"TEE HIGGINS","WR","CIN",14,21,2,19,27,17
"21",21,"TONY POLLARD","RB","DAL",5,21.7,2,21,20,24
"22",22,"JALEN HURTS","QB","PHI",1,23.3,2,20,23,27
"23",23,"NICK CHUBB","RB","CLE",6,24.7,3,23,15,36
"24",24,"PATRICK MAHOMES","QB","KC",2,26.3,3,30,21,28
"25",25,"JAHMYR GIBBS","RB","DET",7,26.7,3,25,33,22
"26",26,"JOSH ALLEN","QB","BUF",3,27.7,3,32,22,29
"27",27,"RHAMONDRE STEVENSON","RB","NE",8,28,3,27,32,25
"28",28,"BREECE HALL","RB","NYJ",9,28.3,3,31,31,23
"29",29,"KEENAN ALLEN","WR","LAC",15,28.3,3,28,26,31
"30",30,"TJ HOCKENSON","TE","MIN",3,29.3,3,24,38,26
"31",31,"DERRICK HENRY","RB","TEN",10,30,3,35,18,37
"32",32,"JOSH JACOBS","RB","LV",11,31.7,3,29,28,38
"33",33,"TRAVIS ETIENNE","RB","JAC",12,32,3,34,29,33
"34",34,"DEEBO SAMUEL","WR","SF",16,32.3,3,26,39,32
"35",35,"KYLE PITTS","TE","ATL",4,37.3,3,33,49,30
"36",36,"JUSTIN FIELDS","QB","CHI",4,40.3,3,37,37,47
"37",37,"CHRIS GODWIN","WR","TB",17,40.3,3,38,42,41
"38",38,"LAMAR JACKSON","QB","BAL",5,40.7,3,47,35,40
"39",39,"DALLAS GOEDERT","TE","PHI",5,40.7,3,36,44,42
"40",40,"DRAKE LONDON","WR","ATL",18,42.7,3,42,52,34
"41",41,"GEORGE KITTLE","TE","SF",6,44.3,3,39,43,51
"42",42,"JOE BURROW","QB","CIN",6,45,3,55,36,44
"43",43,"CHRISTIAN WATSON","WR","GB",19,45.3,3,41,50,45
"44",44,"BRANDON AIYUK","WR","SF",20,47,3,40,58,43
"45",45,"DK METCALF","WR","SEA",21,48,3,45,45,54
"46",46,"DJ MOORE","WR","CHI",22,48.3,4,49,40,56
"47",47,"DARREN WALLER","TE","NYG",7,48.7,4,43,34,69
"48",48,"CALVIN RIDLEY","WR","JAC",23,50.7,4,44,51,57
"49",49,"KENNETH WALKER","RB","SEA",13,51.7,4,46,57,52
