Player_Name,ADP
PATRICK MAHOMES,1.3
JOSH ALLEN,2.7
JALEN HURTS,3.3
JUSTIN JEFFERSON,4.3
JOE BURROW,5.1
LAMAR JACKSON,6.6
JUSTIN HERBERT,7.3
TRAVIS KELCE,8.2
CHRISTIAN MCCAFFREY,8.9
JAMARR CHASE,10.4
JUSTIN FIELDS,11
TREVOR LAWRENCE,12.3
COOPER KUPP,13.1
TYREEK HILL,14.2
AUSTIN EKELER,15
BIJAN ROBINSON,16.6
STEFON DIGGS,17.7
SAQUON BARKLEY,17.7
AJ BROWN,19.4
CEEDEE LAMB,20.2
DESHAUN WATSON,21.1
DAVANTE ADAMS,22.3
JONATHAN TAYLOR,23.6
NICK CHUBB,24.5
GARRETT WILSON,25.7
DERRICK HENRY,26.3
AMONRA ST BROWN,26.3
DAK PRESCOTT,28.3
MARK ANDREWS,29.2
TUA TAGOVAILOA,30.1
JAYLEN WADDLE,31.2
JOSH JACOBS,32.9
CHRIS OLAVE,33.2
TONY POLLARD,34.8
TEE HIGGINS,35.2
KIRK COUSINS,35.8
DEVONTA SMITH,37.3
RHAMONDRE STEVENSON,38.7
BREECE HALL,39.8
NAJEE HARRIS,40.5
TJ HOCKENSON,41.8
DK METCALF,42.2
AARON RODGERS,43.5
JAHMYR GIBBS,44
TRAVIS ETIENNE,44.7
DANIEL JONES,46.3
ANTHONY RICHARDSON,47.1
GENO SMITH,48.1
KEENAN ALLEN,49.1
CALVIN RIDLEY,50.7
KENNETH WALKER,51
DEEBO SAMUEL,52.2
AMARI COOPER,53.2
GEORGE KITTLE,53.5
JARED GOFF,55.7
AARON JONES,56.2
JOE MIXON,57.8
RUSSELL WILSON,58.1
DEANDRE HOPKINS,59.6
KYLE PITTS,60
TERRY MCLAURIN,61.2
JERRY JEUDY,62.2
DRAKE LONDON,62.2
DAMEON PIERCE,64.4
JK DOBBINS,65
DJ MOORE,66
DALLAS GOEDERT,67.7
MILES SANDERS,68.9
DARREN WALLER,69
CHRISTIAN WATSON,70.3
DEREK CARR,71
DANDRE SWIFT,71.3
CAM AKERS,73
CHRIS GODWIN,74.7
BRANDON AIYUK,75
MICHAEL PITTMAN,76.1
ALEXANDER MATTISON,77.5
JAMES CONNER,78
CHRISTIAN KIRK,79.5
BRYCE YOUNG,80.1
DALVIN COOK,80.2
JAXON SMITHNJIGBA,82.9
JORDAN LOVE,83
MIKE WILLIAMS,84.3
TYLER LOCKETT,85.9
JAVONTE WILLIAMS,86
MARQUISE BROWN,87.9
EVAN ENGRAM,88.3
ALVIN KAMARA,89.5
MATTHEW STAFFORD,89.9
RACHAAD WHITE,91.9
ISIAH PACHECO,92.4
MIKE EVANS,93.4
KYLER MURRAY,94.7
PAT FREIERMUTH,95.3
DAVID MONTGOMERY,96.4
